condition,bucket,checklist_key,target_present_frac,achieved_present_n,n,achieved_present_frac
C1,FN,tissue,0.2,2,10,0.2
C1,FN,artifact,0.2,2,10,0.2
C1,FN,borderline,0.4,4,10,0.4
C1,FN,small_focus,0.5,5,10,0.5
C1,FN,stain,0.15,2,10,0.2
C1,FN,context,0.8,8,10,0.8
C1,FP,tissue,0.1,1,10,0.1
C1,FP,artifact,0.5,5,10,0.5
C1,FP,borderline,0.35,4,10,0.4
C1,FP,small_focus,0.2,2,10,0.2
C1,FP,stain,0.3,3,10,0.3
C1,FP,context,0.15,2,10,0.2
C1,confident_error,tissue,0.1,1,10,0.1
C1,confident_error,artifact,0.45,4,10,0.4
C1,confident_error,borderline,0.3,3,10,0.3
C1,confident_error,small_focus,0.25,2,10,0.2
C1,confident_error,stain,0.35,4,10,0.4
C1,confident_error,context,0.2,2,10,0.2
C1,high_entropy_correct,tissue,0.1,1,10,0.1
C1,high_entropy_correct,artifact,0.15,2,10,0.2
C1,high_entropy_correct,borderline,0.6,6,10,0.6
C1,high_entropy_correct,small_focus,0.25,2,10,0.2
C1,high_entropy_correct,stain,0.15,2,10,0.2
C1,high_entropy_correct,context,0.25,2,10,0.2
C1,high_entropy_error,tissue,0.15,2,10,0.2
C1,high_entropy_error,artifact,0.25,2,10,0.2
C1,high_entropy_error,borderline,0.7,7,10,0.7
C1,high_entropy_error,small_focus,0.45,4,10,0.4
C1,high_entropy_error,stain,0.2,2,10,0.2
C1,high_entropy_error,context,0.4,4,10,0.4
C2,FN,tissue,0.2,2,10,0.2
C2,FN,artifact,0.3,3,10,0.3
C2,FN,borderline,0.4,4,10,0.4
C2,FN,small_focus,0.45,4,10,0.4
C2,FN,stain,0.55,6,10,0.6
C2,FN,context,0.55,6,10,0.6
C2,FP,tissue,0.15,2,10,0.2
C2,FP,artifact,0.45,4,10,0.4
C2,FP,borderline,0.35,4,10,0.4
C2,FP,small_focus,0.25,2,10,0.2
C2,FP,stain,0.6,6,10,0.6
C2,FP,context,0.25,2,10,0.2
C2,confident_error,tissue,0.1,1,10,0.1
C2,confident_error,artifact,0.4,4,10,0.4
C2,confident_error,borderline,0.35,4,10,0.4
C2,confident_error,small_focus,0.3,3,10,0.3
C2,confident_error,stain,0.5,5,10,0.5
C2,confident_error,context,0.25,2,10,0.2
C2,high_entropy_correct,tissue,0.1,1,10,0.1
C2,high_entropy_correct,artifact,0.2,2,10,0.2
C2,high_entropy_correct,borderline,0.55,6,10,0.6
C2,high_entropy_correct,small_focus,0.2,2,10,0.2
C2,high_entropy_correct,stain,0.35,4,10,0.4
C2,high_entropy_correct,context,0.3,3,10,0.3
C2,high_entropy_error,tissue,0.15,2,10,0.2
C2,high_entropy_error,artifact,0.3,3,10,0.3
C2,high_entropy_error,borderline,0.75,8,10,0.8
C2,high_entropy_error,small_focus,0.4,4,10,0.4
C2,high_entropy_error,stain,0.45,4,10,0.4
C2,high_entropy_error,context,0.45,4,10,0.4
C3,FN,tissue,0.2,2,10,0.2
C3,FN,artifact,0.25,2,10,0.2
C3,FN,borderline,0.45,4,10,0.4
C3,FN,small_focus,0.45,4,10,0.4
C3,FN,stain,0.25,2,10,0.2
C3,FN,context,0.45,4,10,0.4
C3,FP,tissue,0.15,2,10,0.2
C3,FP,artifact,0.55,6,10,0.6
C3,FP,borderline,0.4,4,10,0.4
C3,FP,small_focus,0.25,2,10,0.2
C3,FP,stain,0.3,3,10,0.3
C3,FP,context,0.2,2,10,0.2
C3,confident_error,tissue,0.12,1,10,0.1
C3,confident_error,artifact,0.5,5,10,0.5
C3,confident_error,borderline,0.35,4,10,0.4
C3,confident_error,small_focus,0.28,3,10,0.3
C3,confident_error,stain,0.32,3,10,0.3
C3,confident_error,context,0.22,2,10,0.2
C3,high_entropy_correct,tissue,0.12,1,10,0.1
C3,high_entropy_correct,artifact,0.18,2,10,0.2
C3,high_entropy_correct,borderline,0.58,6,10,0.6
